SOURCE_DATASET_r,SOURCE_DATASET_l,unique_id_l,unique_id_r,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED_l,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED_r,BEGIN_PUBLICATION_DATE_l,BEGIN_PUBLICATION_DATE_r,extent_normalized_l,extent_normalized_r,EDITION_l,EDITION_r,AUTHOR_l,AUTHOR_r,title_similarity,author_similarity,decision,timestamp,notes,reviewer
UQuebec_Results_Oct24,UQuebec_Results_Oct24,UQuebec_Results_Oct24_4113,UQuebec_Results_Oct24_4114,mutuellesetcooperativesdepargneetdecreditenafriquefrancophoneconvergenceset-mals-1997,mutuellesetcooperativesdepargneetdecreditenafriquefrancophoneexamencomparat-mals-1997,1997,1997,23 feuillets,26 feuillets,,,"Malservisi, Mauro F.","Malservisi, Mauro F.",0.8941176470588236,1.0,merge,,,
UQuebec_Results_Oct24,UQuebec_Results_Oct24,UQuebec_Results_Oct24_5539,UQuebec_Results_Oct24_5541,vocabulairefrancaisanglaisanglaisfrancaisdarcheologieprehistorique-maro-1972,vocabulairefrancaisanglaisanglaisfrancaisdarcheologieprehistoriqueprefdalex-maro-1972,1972,1972,"43, 42 p.","43,42p.",,,"Marois, Roger J. M.","Marois, Roger J. M.",0.9440993788819876,1.0,merge,,,
Regina_Results_Oct24,Regina_Results_Oct24,Regina_Results_Oct24_160,Regina_Results_Oct24_161,calendareveningcreditclassesfall1991--uuuu,calendareveningcreditclasseswinter1991--uuuu,uuuu,uuuu,,,,,,,0.8837209302325582,,ignore,,,
Laval_Results_Oct20,Laval_Results_Oct20,Laval_Results_Oct20_2747,Laval_Results_Oct20_2748,lalexicographiequebecoisebilanetperspectives--1986,lalexicographiequebecoisebilanetperspectivesactesducolloque--1986,1986,1986,"xii, 308 p.","xii, 308 p. :",,,,,0.8695652173913043,,merge,,,
Laval_Results_Oct20,Laval_Results_Oct20,Laval_Results_Oct20_6146,Laval_Results_Oct20_6148,quatreelectionsprovincialesauquebec19561966--1969,quatreelectionsprovincialesauquebec19561966etudespubliees--1969,1969,1969,"xvi, 246 p.","xvi, 246 pages",,,,,0.875,,merge,,,
Laval_Results_Oct20,Laval_Results_Oct20,Laval_Results_Oct20_5092,Laval_Results_Oct20_5093,linterdisciplinariteaudepartementdhistoire--1980,linterdisciplinariteaudepartementdhistoireactesducolloque--1980,1980,1980,"xii, 298 pages :","xii, 298 p. :",,,,,0.8648648648648648,,merge,,,
Laval_Results_Oct20,Laval_Results_Oct20,Laval_Results_Oct20_828,Laval_Results_Oct20_830,cridalarmelacivilisationscientifiqueetlescanadiensfrancais--1963,cridalarmelacivilisationscientifiqueetlescanadiensfrancaisparungroupedeprof--1963,1963,1963,142 p.,142p.,,,,,0.8827586206896553,,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_11072,UMontreal_Results_Oct24_11073,systemoflinearpartialdifferentialequationsanddeformationofpseudogroupstruct-kump-1974,systemsoflinearpartialdifferentialequationsanddeformationofpseudogroupsstru-kump-1974,1974,1974,100 p.,100p.,,,"Kumpera, Antonio.","Kumpera, Antônio",0.976470588235294,0.9090909090909092,merge,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_4043,UMontreal_Results_Oct24_4044,inaugurationdesnouveauxbatimentsdeluniversitedemontrealaumontroyalcollation--1943,inaugurationdesnouveauximmeublesdeluniversitedemontrealdumontroyal--1943,1943,1943,35 pages :,32 pages :,,,,,0.8627450980392157,,ignore,,,
UMontreal_Results_Oct24,UMontreal_Results_Oct24,UMontreal_Results_Oct24_8362,UMontreal_Results_Oct24_8363,memoiredelappelante--2000,memoiredelintime--2000,2000,2000,"ii, 31 feuillets","i, 34 feuillets",,,,,0.8085106382978724,,ignore,,,
